Date,RH,T_air,T_reflect,T_dry,T_low ,T_medium,T_high,T_wet,T_leaf
12:39:23 PM,35.87504238,23.12094065,23.59452,24.87706,22.43905,21.91874,21.4489,18.95401,21.14356
12:39:23 PM,35.87784093,23.12107118,23.60337,24.8834,22.43704,21.91745,21.45194,18.96334,21.150388
12:39:23 PM,35.88035655,23.12112748,23.63276,24.88197,22.43104,21.92281,21.44401,18.96326,21.151912
12:39:24 PM,35.88256253,23.12110568,23.63496,24.91131,22.47043,21.95863,21.48427,19.00666,21.179218
12:39:24 PM,35.88445807,23.12100408,23.65858,24.9241,22.48785,21.97154,21.4943,19.01463,21.196502
12:39:24 PM,35.88606236,23.12082271,23.66578,24.9347,22.49868,21.9859,21.50247,19.01509,21.209586
12:39:24 PM,35.88739505,23.12056163,23.71347,24.99352,22.54715,22.02802,21.55122,19.07561,21.264788
12:39:24 PM,35.88847583,23.12022091,23.66334,24.91794,22.49271,21.96934,21.49419,19.01708,21.201354
12:39:24 PM,35.88932437,23.1198006,23.66641,24.91404,22.4966,21.97789,21.50885,19.017,21.203408
12:39:24 PM,35.88996034,23.11930077,23.67553,24.93527,22.51586,21.98891,21.51408,19.03642,21.213748
12:39:24 PM,35.89040343,23.11872149,23.64412,24.88319,22.47626,21.95174,21.47152,18.9857,21.177562
12:39:24 PM,35.89067331,23.11806281,23.66638,24.89498,22.48633,21.96315,21.47956,18.99767,21.187852
12:39:24 PM,35.89078965,23.11732479,23.64438,24.89057,22.483,21.95822,21.47834,18.99138,21.181638
12:39:25 PM,35.89077213,23.1165075,23.62996,24.89687,22.48303,21.9571,21.47927,18.99805,21.176454
12:39:25 PM,35.89064042,23.11561101,23.67024,24.93036,22.50796,21.98511,21.50941,19.03607,21.208384
12:39:25 PM,35.8904142,23.11463537,23.66046,24.89476,22.47709,21.94631,21.47933,19.0008,21.169882
12:39:25 PM,35.89011315,23.11358064,23.68439,24.91132,22.50094,21.97345,21.49797,19.02143,21.19599
12:39:25 PM,35.88975694,23.11244689,23.6563,24.8797,22.47197,21.94965,21.4724,18.99319,21.166976
12:39:25 PM,35.88936524,23.11123418,23.66869,24.88773,22.48312,21.96563,21.47829,19.00437,21.180226
12:39:25 PM,35.88895774,23.10994258,23.64754,24.89859,22.49577,21.98079,21.48913,19.0175,21.193998
12:39:25 PM,35.8885541,23.10857214,23.63449,24.87578,22.47131,21.95166,21.4674,18.99288,21.174232
12:39:25 PM,35.88817401,23.10712293,23.63111,24.85902,22.45739,21.93296,21.44785,18.96717,21.151778
12:39:25 PM,35.88783714,23.10559501,23.62017,24.8561,22.45247,21.93512,21.44653,18.95981,21.154244
12:39:26 PM,35.88756315,23.10398845,23.6034,24.84347,22.43786,21.91394,21.42624,18.93821,21.136652
12:39:26 PM,35.88737174,23.1023033,23.61552,24.8716,22.45995,21.92986,21.44799,18.9692,21.160666
12:39:26 PM,35.88728258,23.10053962,23.63565,24.89838,22.48188,21.95397,21.46671,18.98284,21.180402
12:39:26 PM,35.88731533,23.09869749,23.60958,24.86581,22.45155,21.92016,21.4328,18.94236,21.143992
12:39:26 PM,35.88748968,23.09677696,23.62951,24.8742,22.45717,21.93192,21.4445,18.95576,21.163104
